id,year,month,day,hour,minute,second,latitude,longitude,depth(km),magnitude
     1, 2010, 01, 01, 18, 45, 53,  35.5736,  -97.1686,   2.757,  2.6  
     2, 2010, 01, 11, 05, 16, 01,  35.5304,  -97.3003,   5.389,  2.8  
     3, 2010, 01, 15, 15, 18, 27,  35.5303,  -97.3049,   5.726,  3.8  
     4, 2010, 01, 15, 15, 27, 03,  35.5300,  -97.3077,   5.162,  3.7  
     5, 2010, 01, 24, 07, 14, 53,  35.4915,  -97.2445,   5.742,  3.6  
     6, 2010, 01, 24, 09, 45, 27,  35.4912,  -97.2707,   4.249,  2.2  
     7, 2010, 01, 24, 10, 20, 19,  35.4898,  -97.2705,   4.032,  2.6  
     8, 2010, 01, 26, 13, 58, 43,  35.5596,  -97.2894,   4.942,  2.2  
     9, 2010, 02, 04, 10, 31, 30,  35.5644,  -97.2916,   5.184,  2.3  
    10, 2010, 02, 12, 08, 47, 21,  35.5632,  -97.2922,   5.187,  2.3  
    11, 2010, 02, 13, 05, 30, 56,  35.5327,  -97.2963,   4.263,  3.2  
    12, 2010, 02, 13, 05, 59, 54,  35.5296,  -97.3128,   3.126,  1.5  
    13, 2010, 02, 14, 14, 22, 04,  35.5897,  -97.2502,   4.158,  1.2  
    14, 2010, 02, 15, 03, 32, 26,  35.5625,  -97.2980,   5.240,  3.1  
    15, 2010, 02, 15, 03, 55, 31,  35.5627,  -97.3028,   4.897,  1.6  
    16, 2010, 02, 15, 03, 59, 23,  35.5591,  -97.3010,   5.195,  1.3  
    17, 2010, 02, 15, 14, 28, 25,  35.5637,  -97.2987,   5.317,  1.7  
    18, 2010, 02, 16, 02, 33, 35,  35.5629,  -97.3024,   5.121,  1.3  
    19, 2010, 02, 17, 08, 31, 28,  35.5354,  -97.2896,   4.465,  1.5  
    20, 2010, 02, 17, 15, 14, 47,  35.5567,  -97.2870,   4.716,  1.7  
    21, 2010, 02, 19, 16, 12, 49,  35.6187,  -97.0636,   5.206,  3.2  
    22, 2010, 02, 19, 18, 17, 36,  35.5610,  -97.2956,   5.625,  1.5  
    23, 2010, 02, 20, 12, 18, 33,  35.5655,  -97.2937,   5.532,  0.0  
    24, 2010, 02, 21, 05, 07, 43,  35.6203,  -97.0682,   5.148,  2.8  
    25, 2010, 02, 21, 19, 36, 16,  35.5616,  -97.2960,   5.327,  2.5  
    26, 2010, 02, 22, 04, 16, 00,  35.4895,  -97.2362,   5.888,  2.1  
    27, 2010, 02, 23, 03, 57, 30,  35.6194,  -97.0641,   5.298,  2.5  
    28, 2010, 02, 23, 05, 28, 40,  35.5656,  -97.2930,   5.017,  2.3  
    29, 2010, 02, 23, 15, 31, 48,  35.5267,  -97.2903,   5.019,  1.4  
    30, 2010, 02, 26, 02, 45, 31,  35.5580,  -97.2276,   3.901,  2.0  
    31, 2010, 02, 26, 02, 56, 46,  35.5594,  -97.2275,   3.763,  2.0  
    32, 2010, 02, 26, 09, 02, 08,  35.6208,  -97.0664,   5.132,  3.2  
    33, 2010, 02, 26, 09, 45, 06,  35.6231,  -97.0641,   5.253,  2.3  
    34, 2010, 02, 26, 20, 19, 06,  35.5561,  -97.2282,   4.343,  1.5  
    35, 2010, 02, 26, 23, 21, 33,  35.5577,  -97.2279,   4.028,  2.6  
    36, 2010, 02, 27, 00, 15, 32,  35.5585,  -97.2280,   4.044,  2.1  
    37, 2010, 02, 27, 17, 49, 05,  35.5583,  -97.3041,   5.281,  1.3  
    38, 2010, 02, 27, 22, 22, 28,  35.5436,  -96.7777,   5.981,  4.1  
    39, 2010, 03, 03, 04, 24, 15,  35.5235,  -97.4224,   3.844,  1.5  
    40, 2010, 03, 03, 04, 35, 19,  35.5223,  -97.4222,   3.523,  2.7  
    41, 2010, 03, 04, 18, 26, 58,  35.5291,  -97.3044,   4.543,  1.3  
    42, 2010, 03, 05, 20, 35, 14,  35.5401,  -96.7791,   7.094,  3.3  
    43, 2010, 03, 06, 11, 27, 14,  35.5588,  -97.3008,   5.440,  1.0  
    44, 2010, 03, 06, 17, 04, 20,  35.6336,  -97.2144,   4.719,  1.2  
    45, 2010, 03, 07, 10, 31, 26,  35.5969,  -97.1150,   4.631,  2.5  
    46, 2010, 03, 09, 08, 16, 14,  35.5619,  -97.2985,   4.646,  0.8  
    47, 2010, 03, 10, 15, 09, 08,  35.5207,  -97.4069,   3.982,  1.9  
    48, 2010, 03, 11, 08, 11, 01,  35.3858,  -98.0506,   2.296,  2.6  
    49, 2010, 03, 11, 09, 45, 18,  35.4079,  -98.0879,   2.636,  2.4  
    50, 2010, 03, 11, 10, 00, 55,  35.4048,  -98.0928,   2.367,  2.4  
    51, 2010, 03, 11, 10, 06, 09,  35.3884,  -98.0779,   2.824,  2.4  
    52, 2010, 03, 11, 10, 54, 25,  35.3954,  -98.0675,   2.833,  2.6  
    53, 2010, 03, 11, 13, 15, 16,  35.3893,  -98.0804,   2.144,  2.8  
    54, 2010, 03, 11, 23, 57, 29,  35.3794,  -98.1045,   2.477,  3.3  
    55, 2010, 03, 12, 05, 17, 57,  35.5229,  -97.4102,   4.329,  1.8  
    56, 2010, 03, 13, 05, 15, 46,  35.6167,  -97.2224,   1.149,  1.9  
    57, 2010, 03, 13, 14, 40, 22,  35.5633,  -97.2930,   5.144,  2.0  
    58, 2010, 03, 13, 14, 46, 36,  35.5665,  -97.2929,   5.385,  0.0  
    59, 2010, 03, 13, 15, 27, 59,  35.4906,  -97.2542,   0.705,  1.5  
    60, 2010, 03, 18, 02, 42, 03,  35.6306,  -97.1343,   7.683,  2.2  
    61, 2010, 03, 19, 22, 07, 27,  35.5237,  -97.4085,   3.671,  2.4  
    62, 2010, 03, 20, 03, 00, 37,  35.5078,  -96.7484,   0.774,  2.2  
    63, 2010, 03, 20, 13, 37, 19,  35.8677,  -96.8079,   4.361,  1.9  
    64, 2010, 03, 22, 01, 28, 53,  35.8927,  -96.7900,   2.861,  1.9  
    65, 2010, 03, 22, 02, 37, 18,  35.5255,  -96.7730,   4.128,  3.9  
    66, 2010, 03, 22, 06, 36, 30,  35.5679,  -97.0698,   3.582,  1.9  
    67, 2010, 03, 22, 08, 20, 04,  35.5277,  -96.7754,   4.737,  3.1  
    68, 2010, 03, 22, 09, 18, 52,  35.5473,  -96.7774,   7.229,  3.1  
    69, 2010, 03, 22, 10, 46, 50,  35.4967,  -97.2440,   6.784,  1.7  
    70, 2010, 03, 22, 16, 11, 54,  35.5154,  -96.7331,   4.961,  2.3  
    71, 2010, 03, 22, 22, 02, 29,  35.5254,  -97.2988,   4.953,  1.7  
    72, 2010, 03, 23, 02, 02, 56,  35.5257,  -97.3112,   4.725,  1.4  
    73, 2010, 03, 23, 03, 32, 26,  35.5216,  -96.7729,   2.880,  2.3  
    74, 2010, 03, 24, 09, 26, 21,  35.5094,  -96.7479,   4.587,  2.2  
    75, 2010, 03, 26, 03, 42, 39,  35.5657,  -97.2952,   5.405,  0.8  
    76, 2010, 03, 28, 12, 51, 34,  35.5910,  -97.2543,   3.812,  1.2  
    77, 2010, 03, 28, 13, 24, 34,  35.5463,  -97.2344,   4.344,  2.1  
    78, 2010, 03, 28, 14, 46, 33,  35.5466,  -97.2340,   4.226,  2.1  
    79, 2010, 03, 28, 15, 29, 57,  35.5459,  -97.2350,   4.404,  2.3  
    80, 2010, 03, 28, 16, 55, 51,  35.5473,  -97.2343,   4.287,  1.5  
    81, 2010, 03, 29, 03, 55, 48,  35.5458,  -97.2358,   4.371,  2.1  
